label,format,number,period,composer,work,performers,time
Angel,LP,LP SB-3861,1,"Arne, Thomas (English, 1710-78)","Song, ""Under the Greenwood Tree"" from Shakespeare's As You Like It","Hill, Munrow, Standage, Sloan, Brookes, Hogwood",2.2,,,,,,,,,,,
Hyperion,CD,CD 66237 [prefix del],1,"Arne, Thomas (English, 1710-78)","Song, ""What tho' his guilt""","Kirkby, Goodman, Parley of Instruments",2.3,,,,,,,,,,,
HNH,LP,LP 4041,1,"Arne, Thomas (English, 1710-78)",Symphony No. 1 in C,"Montgomery, Bournemouth Sinfonietta",8.8,,,,,,,,,,,
HNH,LP,LP 4041,1,"Arne, Thomas (English, 1710-78)",Symphony No. 2 in F,"Montgomery, Bournemouth Sinfonietta",10.6,,,,,,,,,,,
HNH,LP,LP 4041,1,"Arne, Thomas (English, 1710-78)",Symphony No. 3 in E-flat,"Montgomery, Bournemouth Sinfonietta",9.2,,,,,,,,,,,
HNH,LP,LP 4041,1,"Arne, Thomas (English, 1710-78)",Symphony No. 4 in c,"Montgomery, Bournemouth Sinfonietta",12.2,,,,,,,,,,,
Chandos,CD,CD CHAN 0722,1,"Arne, Thomas (English, 1710-78)","Thomas and Sally, Overture to","Standage, Collegium Musicum 90",4.8,,,,,,,,,,,
Amon Ra,CD,CD SAR-14,1,"Arne, Thomas (English, 1710-78)",Trio Sonata No. 2 in G,London Baroque,8.4,,,,,,,,,,,
Turnabout,LP,LP TV 34244,1,"Auffmann, Joseph Anton (1720-1778)",Concerto for Organ and Orchestra in G,"Lehrndorfer, Stuttgart Soloists",6.1,,,,,,,,,,,
Hännsler,CD,CD 98.575,1,"Auffmann, Joseph Anton (1720-1778)","Concerto for Organ, Two Horns, and Strings in E-flat, Op. 1, No. 1","Haselböck, Melkus, Capella Academica Wien",7.5,,,,,,,,,,,
Angel,LP,LP DS-37344,1,"Auletta, Pietro (Italian, 1698-1771)","Maestro di musica, Il (drawn from music from Auletta's Orazio and music by other composers; once attr. to Pergolesi)","Blegen, Britten, Ostendorf, Schwarz, Los Angeles Chamber Orchestra",,,,,,,,,,,,
Cavalier Classics,CD,CD 0001,1,"Avison, Charles (English, 1709-70)",Concerto after Scarlatti No. 12 in D,"Beznosiuk, Avison Ensemble",15.2,,,,,,,,,,,
Harmonia Mundi,CD,CD 902337,1,"Avison, Charles (English, 1709-70)",Concerto gross No. 5 in d,"Staier, Barocca House of Music Orchestra",8.1,,,,,,,,,,,
Cavalier Classics,CD,CD 0001,1,"Avison, Charles (English, 1709-70)","Concerto Grosso in e, Op. 3, No. 2","Beznosiuk, Avison Ensemble",8.2,,,,,,,,,,,
Cavalier Classics,CD,CD 0001,1,"Avison, Charles (English, 1709-70)","Concerto Grosso in G, Op. 3, No. 6","Beznosiuk, Avison Ensemble",9.8,,,,,,,,,,,
London,LP,LP STS 15013,1,"Avison, Charles (English, 1709-70)",Concerto No. 13 in D,"Hurwitz, English Chamber Orchestra",7.8,,,,,,,,,,,
Amon Ra,CD,CD SAR-14,1,"Avison, Charles (English, 1709-70)","Sonata for Harpsichord, Two Violins, and Cello in c/C, Op. 5, No. 2",London Baroque,8.3,,,,,,,,,,,
Musique en Wallonie,LP,LP MW 35,1,"Babou, Monsieur (French, 1656-after 1740)","Livre d'Orgue (Organ Book), Volume I",(Part One) Schoonbroodt,22.7,,,,,,,,,,,
Musique en Wallonie,LP,LP MW 35,1,"Babou, Monsieur (French, 1656-after 1740)","Livre d'Orgue (Organ Book), Volume I",(Part Two) Schoonbroodt,25.2,,,,,,,,,,,
Musique en Wallonie,LP,LP MW 35,1,"Babou, Monsieur (French, 1656-after 1740)","Livre d'Orgue (Organ Book), Volume I",Schoonbroodt,48.0,,,,,,,,,,,
BBC,CD   ,CD 4408-7,1,Bach,Mass in B minor,"Danco, Ferrier, Pears, Boyce, Walker, Enescu, BBC Chorus, Boyd Neel Orchestra",132.3,,,,,,,,,,,
Telefunken,LP,LP 6.35453,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Adagio for Organ in d, Wq. not-catalogued No. 66",Tachezi,2.7,,,,,,,,,,,
Capriccio,CD,CD 10 209,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Cantata, ""Der Herr lebet,"" Wq. 251","Schlick, Helling, Jochens, Schwarz, Max, Rheinische Kantorei, Das Kleine Konzert",36.3,,,,,,,,,,,
Capriccio,CD,CD 10 206/207,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Cantata, ""Gott hat den Herrn auferweckt,"" Wq. 244","Lins, Elliot, Schwarz, Max, Rheinische Kantorei, Das Kleine Konzert",25.8,,,,,,,,,,,
Capriccio,CD,CD 10 209,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Cantata, ""Zur Einführung des H. P. Gasie,"" Wq. 250","Schlick, Helling, Jochens, Schwarz, Max, Rheinische Kantorei, Das Kleine Konzert",25.8,,,,,,,,,,,
Harmonia Mundi,CD,CD 907403,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Cello and Orchestra in A, Wq. 172, H. 439","McGillivray, Manze, English Concert",20.1,,,,,,,,,,,
Delos,CD,CD DE 3197,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Cello and Orchestra in A, Wq. 172, H. 439","Starker, Santa Fe Festival Orchestra",20.0,,,,,,,,,,,
DG,CD,CD 439 895-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Flute and Orchestra in G, Wq. 169","Gallois, Schreier, Carl Philipp Emanuel Bach Chamber Orchestra",25.1,,,,,,,,,,,
Philips,CD,CD 416 615-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Harpsichord and Strings in A, Wq. 29","Koopman, Amsterdam Baroque Orchestra",19.0,,,,,,,,,,,
Erato,CD,CD 2292-45306,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Harpsichord, Piano, and Orchestra in E-flat","Koopman, Mathot, Amsterdam Baroque Orchestra",18.0,,,,,,,,,,,
Raum Klang,CD,CD 59603,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Harpsichord, Strings, and Basso Continuo in a, Wq. 1, H. 403","Remy, Orchestra of the Electoral Saxony of Leipzig",15.9,,,,,,,,,,,
Deutsche Harmonia Mundi,CD,CD 77187-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Harpsichord, Strings, and Basso Continuo in c, Wq. 43, No. 4 (H. 474)","Staier, Hengelbrock, Freiburg Baroque Orchestra",11.9,,,,,,,,,,,
Deutsche Harmonia Mundi,CD,CD 77187-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Oboe, Strings, and Basso Continuo in E-flat, Wq. 165 (H. 468)","Westermann, Hengelbrock, Freiburg Baroque Orchestra",23.0,,,,,,,,,,,
Erato,CD,CD ECD 75560,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Oboe, Strings, and Continuo in B-flat, Wq. XXI, No. 164","Ebbinge, Koopman, Amsterdam Baroque Orchestra",20.6,,,,,,,,,,,
Capriccio,CD,CD 10 069,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Oboe, Strings, and Continuo in B-flat, Wq. XXI, No. 164","Glaetzner, Pommer, Neues Bachisches Collegium Musicum Leipzig",23.7,,,,,,,,,,,
Erato,CD,CD ECD 75560,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Oboe, Strings, and Continuo in E-flat, Wq. XXI, No. 165","Ebbinge, Koopman, Amsterdam Baroque Orchestra",20.6,,,,,,,,,,,
Capriccio,CD,CD 10 069,1,"Bach, Carl Philipp Emanuel (German, 1714-88)","Concerto for Oboe, Strings, and Continuo in E-flat, Wq. XXI, No. 165","Glaetzner, Pommer, Neues Bachisches Collegium Musicum Leipzig",23.2,,,,,,,,,,,
CBS,CD,CD 88883 73273 2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto for Orchestra in D,"Ormandy, Philadelphia Orchestra",15.6,,,,,,,,,,,
Koch Schwann,CD,CD 316 009,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto for Organ and Strings in G,"Fetz, Müller-Brühl, Köln Chamber Orchestra",24.7,,,,,,,,,,,
Erato,CD,CD 2292-45306,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto for Two Harpsichords and Orchestra in F,"Koopman, Mathot, Amsterdam Baroque Orchestra",24.9,,,,,,,,,,,
DG Archiv,CD,CD 419 256-2,1,"Bach, Carl Philipp Emanuel (German, 1714-88)",Concerto for Two Harpsichords and Orchestra in F,"Staier, Hill, Musica Antiqua Koln, Goebel",23.7,,,,,,,,,,,
